Antrenor;Toplam;Birinci;Ikinci;Ucuncu;Kazanma_Yuzde;Ilk3_Yuzde
B.ATAY;21;2;3;4;9.52;42.86
E.EREN;21;3;7;2;14.29;57.14
BAY.GÜL;20;1;2;3;5.0;30.0
S.ALMAZ;20;5;0;3;25.0;40.0
Ü.GÜLER;20;7;2;4;35.0;65.0
A.OLCAR;20;2;4;1;10.0;35.0
F.GEZİCİ;19;4;7;2;21.05;68.42
A.YETİŞ;19;4;0;2;21.05;31.58
S.TURAN;19;3;2;2;15.79;36.84
ORK.ÖZELCANAT;19;2;0;3;10.53;26.32
S.ALTINDAĞ;19;2;2;2;10.53;31.58
Y.AÇIL;19;2;0;1;10.53;15.79
SEN.ŞEN;18;2;1;0;11.11;16.67
E.ERGÖKÇEN;18;3;1;2;16.67;33.33
A.BAĞIŞ;18;0;1;1;0.0;11.11
YAS.POLAT;18;3;3;6;16.67;66.67
S.AYDOĞDİ;18;4;1;4;22.22;50.0
Y.ERDEMİR;18;1;1;4;5.56;33.33
S.CEYLAN;18;0;1;2;0.0;16.67
B.REFİKOĞLU;18;1;5;4;5.56;55.56
FERHAT ALTIN;18;8;1;2;44.44;61.11
R.KARABULUT;17;0;3;2;0.0;29.41
M.BAYKARA;17;2;2;2;11.76;35.29
H.CANSU;17;2;0;0;11.76;11.76
E.YILDIZ;17;1;3;2;5.88;35.29
S.GÖKDEMİR;16;1;2;2;6.25;31.25
F.A.YEŞİLBUDAK;16;1;0;1;6.25;12.5
E.YEŞİL;16;7;4;1;43.75;75.0
MUR.AYDOĞDİ;16;0;1;2;0.0;18.75
Z.KURT;15;3;3;2;20.0;53.33
K.KÖYLÜ;15;6;1;1;40.0;53.33
K.T.YURDABAK;15;1;2;1;6.67;26.67
GAL.KILIÇ;15;2;2;6;13.33;66.67
A.PAMUKCİ;15;2;1;1;13.33;26.67
M.DÜLGAR;15;0;0;1;0.0;6.67
H.GÜNKURUSU;15;2;3;2;13.33;46.67
Ö.FARUK TAN;15;0;3;2;0.0;33.33
R.ATLI;14;1;5;1;7.14;50.0
F.ŞEN;14;1;0;1;7.14;14.29
C.FİLİKSAÇ;14;3;1;1;21.43;35.71
A.C.YALAZ;14;1;1;1;7.14;21.43
A.ŞEN;14;0;2;1;0.0;21.43
İ.AĞIRTAŞ;14;0;0;0;0.0;0.0
S.ÇITAK ÜNAL;14;0;0;1;0.0;7.14
Ş.S.ÇEKE;14;1;4;0;7.14;35.71
F.GÖNÜLTAŞ;14;3;1;0;21.43;28.57
A.METE İNAL;14;2;0;1;14.29;21.43
Y.ŞİMŞEK;13;2;3;1;15.38;46.15
UB.DEMİR;13;1;0;0;7.69;7.69
SA.ÖZBEY;13;1;1;1;7.69;23.08
A.ÖZDOĞAN;13;7;1;1;53.85;69.23
Ö.DEMİR;13;1;2;0;7.69;23.08
A.ALÇİÇEK;13;2;0;0;15.38;15.38
T.SOYAD;13;2;2;3;15.38;53.85
G.ÖZER;13;1;1;1;7.69;23.08
O.İPEK;13;3;0;3;23.08;46.15
B.BAYDAN;13;3;1;1;23.08;38.46
ALİ BOZKURT;13;4;0;4;30.77;61.54
B.ÇAKUS;13;1;1;1;7.69;23.08
MERT KORKMAZ;13;2;0;0;15.38;15.38
T.ÇEKİCİ;12;1;1;0;8.33;16.67
M.A.TURAN;12;4;2;1;33.33;58.33
A.C.BURHANLIOĞLU;12;1;1;2;8.33;33.33
M.F.YAZAR;12;0;2;0;0.0;16.67
A.M.İNAL;12;3;1;2;25.0;50.0
M.F.ATCI;12;0;0;0;0.0;0.0
K.TURAN YURDABAK;12;0;1;1;0.0;16.67
A.ÖZGEN;12;1;1;2;8.33;33.33
Ö.YİĞİT;11;0;0;2;0.0;18.18
O.BOZYEL;11;3;2;0;27.27;45.45
H.ALTIN;11;4;1;2;36.36;63.64
E.AVCI;11;1;0;0;9.09;9.09
K.BALTACI;11;0;0;1;0.0;9.09
A.BAŞYİĞİT;11;1;1;0;9.09;18.18
M.BATMAN;10;2;1;0;20.0;30.0
M.H.ESİN;10;1;2;1;10.0;40.0
A.YAZICI;10;0;2;3;0.0;50.0
K.İ.KÖSEOĞLU;10;0;2;2;0.0;40.0
HA.BALPETEK;10;0;1;1;0.0;20.0
E.DIBLEN;10;2;0;0;20.0;20.0
MER.KORKMAZ.;10;1;1;0;10.0;20.0
H.BAŞAK;10;3;0;0;30.0;30.0
E.GÖKÇE;10;0;0;0;0.0;0.0
FATİH ŞEN;10;0;0;0;0.0;0.0
OL. AKTÜRK;10;1;0;2;10.0;30.0
KEM.DEMİR;9;1;0;3;11.11;44.44
A.GÜMÜŞ;9;0;0;1;0.0;11.11
A.ÖZKAN;9;0;0;0;0.0;0.0
HAS.KAYA;9;0;0;0;0.0;0.0
B.TEKDOĞAN;9;0;0;0;0.0;0.0
S.NURAL;9;3;0;2;33.33;55.56
M.CAN;9;0;0;1;0.0;11.11
H.ERGİN;9;2;0;0;22.22;22.22
M.A.İNCESOY;9;4;0;0;44.44;44.44
B.YEŞİLYURT;9;0;0;0;0.0;0.0
M.GÜRCÜ;9;0;2;0;0.0;22.22
M.ER;9;0;1;2;0.0;33.33
N.DÖNMEZ;9;0;0;2;0.0;22.22
G.ŞEN;9;0;0;1;0.0;11.11
N.ŞEN;9;1;0;1;11.11;22.22
B.YÜKSEL;8;2;0;1;25.0;37.5
İ.SAYIS;8;1;0;0;12.5;12.5
Ç.ÖZDİL;8;1;0;1;12.5;25.0
SÜL.ASLAN;8;1;0;0;12.5;12.5
N.KÖÇKEN;8;1;0;0;12.5;12.5
MUT.KAYA;8;1;1;1;12.5;37.5
R.TETİK;8;1;0;0;12.5;12.5
R.GÜNELİ;8;0;1;1;0.0;25.0
N.Y.KÖYLÜ;8;2;0;1;25.0;37.5
ORK. ÖZELCANAT;8;1;0;1;12.5;25.0
S.BİLGİÇ;8;1;0;2;12.5;37.5
S.ÖNDER;8;2;1;0;25.0;37.5
A.KURT;8;0;1;1;0.0;25.0
A.AKALP;7;0;1;1;0.0;28.57
M.TEKİNALP;7;4;0;1;57.14;71.43
AL.BEKTAŞ;7;1;0;0;14.29;14.29
M.İPEK;7;0;0;0;0.0;0.0
N.GENÇER;7;0;0;0;0.0;0.0
S.KÖSE;7;0;0;1;0.0;14.29
S.KAYMAKLI;7;0;0;0;0.0;0.0
D.SEVGİLİ;7;1;2;1;14.29;57.14
S.BAŞOĞLU;7;2;1;0;28.57;42.86
M.B.TOKAT;7;0;0;1;0.0;14.29
F.YAVAŞ;7;1;0;0;14.29;14.29
S.S.GÖRGÜ;7;0;3;0;0.0;42.86
MUR.ALTIN;6;1;1;0;16.67;33.33
M.DİREKLİ;6;0;1;0;0.0;16.67
L.YAVUZ;6;0;0;0;0.0;0.0
E.KAPLAN;6;3;0;1;50.0;66.67
E.ÇELİK;6;0;0;0;0.0;0.0
U.DAŞCI;6;0;1;0;0.0;16.67
T.ATEŞ;5;0;1;1;0.0;40.0
İBR.C.ERŞAKAR;5;0;1;0;0.0;20.0
A.DUTAL;5;0;2;0;0.0;40.0
S.DUMAN;5;1;1;0;20.0;40.0
EK.AYDIN;5;0;1;1;0.0;40.0
S.ALTUNTAŞ;5;0;0;2;0.0;40.0
İ.DURU;5;0;0;0;0.0;0.0
F.ARICI;5;1;0;0;20.0;20.0
M.ALTUNBAŞ;5;1;0;1;20.0;40.0
D.ALTIN;5;2;0;0;40.0;40.0
A.BEKTAŞ;4;3;0;0;75.0;75.0
F.GARZAN;4;0;1;0;0.0;25.0
N.ŞİMŞEK;4;1;1;1;25.0;75.0
H.ÇARIKÇI;4;0;0;0;0.0;0.0
EM.KESKİN;4;1;0;0;25.0;25.0
B.AKTAŞ;4;1;0;0;25.0;25.0
At Sahibi Vekili;4;0;0;0;0.0;0.0
S.H.BARUT;4;0;0;0;0.0;0.0
E.KESKİN;4;1;0;0;25.0;25.0
A.SERBEST;4;0;0;0;0.0;0.0
E.ÇALIK;4;0;0;0;0.0;0.0
İ.KAPUSIZ;4;0;0;0;0.0;0.0
H.T.DİKENCİK;4;0;0;1;0.0;25.0
K.O.ÖZER;4;0;0;0;0.0;0.0
E.HAZAL ŞEKER;4;0;2;0;0.0;50.0
F.ÖZPAY;4;0;0;0;0.0;0.0
İ.ERDEM;4;0;0;0;0.0;0.0
MEH.ARSLAN;4;0;0;0;0.0;0.0
Ö.AKKAYA;3;0;0;0;0.0;0.0
T.İMAL;3;0;0;0;0.0;0.0
R.GÜMÜŞ;3;0;0;0;0.0;0.0
Ü.TANER;3;0;0;1;0.0;33.33
M.ELÇİ;3;0;0;0;0.0;0.0
K.KIYGIR;3;0;1;0;0.0;33.33
ŞEY.GÜMÜŞ;3;0;0;0;0.0;0.0
A.DE MİEULLE;3;1;0;1;33.33;66.67
B.HACİ TOSUN;3;0;1;0;0.0;33.33
