Antrenor;Toplam;Birinci;Ikinci;Ucuncu;Kazanma_Yuzde;Ilk3_Yuzde
B.ATAY;21;2;3;4;9.52;42.86
E.EREN;21;3;7;2;14.29;57.14
BAY.GÜL;20;1;2;3;5.0;30.0
S.ALMAZ;20;5;0;3;25.0;40.0
Ü.GÜLER;20;7;2;4;35.0;65.0
A.OLCAR;20;2;4;1;10.0;35.0
F.GEZİCİ;19;4;7;2;21.05;68.42
SEN.ŞEN;19;2;1;0;10.53;15.79
A.YETİŞ;19;4;0;2;21.05;31.58
S.TURAN;19;3;2;2;15.79;36.84
ORK.ÖZELCANAT;19;2;0;3;10.53;26.32
S.ALTINDAĞ;19;2;2;2;10.53;31.58
Y.AÇIL;19;2;0;1;10.53;15.79
E.ERGÖKÇEN;18;3;1;2;16.67;33.33
GAL.KILIÇ;18;2;2;6;11.11;55.56
A.BAĞIŞ;18;0;1;1;0.0;11.11
YAS.POLAT;18;3;3;6;16.67;66.67
S.AYDOĞDİ;18;4;1;4;22.22;50.0
Y.ERDEMİR;18;1;1;4;5.56;33.33
S.CEYLAN;18;0;1;2;0.0;16.67
B.REFİKOĞLU;18;1;5;4;5.56;55.56
FERHAT ALTIN;18;8;1;2;44.44;61.11
R.KARABULUT;17;0;3;2;0.0;29.41
T.ÇEKİCİ;17;1;1;1;5.88;17.65
S.GÖKDEMİR;17;1;3;2;5.88;35.29
M.BAYKARA;17;2;2;2;11.76;35.29
H.CANSU;17;2;0;0;11.76;11.76
E.YILDIZ;17;1;3;2;5.88;35.29
F.ŞEN;16;1;0;1;6.25;12.5
K.KÖYLÜ;16;6;2;1;37.5;56.25
K.T.YURDABAK;16;1;2;1;6.25;25.0
A.ŞEN;16;0;2;1;0.0;18.75
F.A.YEŞİLBUDAK;16;1;0;1;6.25;12.5
A.PAMUKCİ;16;2;2;1;12.5;31.25
E.YEŞİL;16;7;4;1;43.75;75.0
MUR.AYDOĞDİ;16;0;1;2;0.0;18.75
R.ATLI;15;1;5;1;6.67;46.67
Z.KURT;15;3;3;2;20.0;53.33
C.FİLİKSAÇ;15;3;1;1;20.0;33.33
M.DÜLGAR;15;0;0;1;0.0;6.67
H.GÜNKURUSU;15;2;3;2;13.33;46.67
Ö.FARUK TAN;15;0;3;2;0.0;33.33
A.ÖZDOĞAN;14;7;1;2;50.0;71.43
A.C.YALAZ;14;1;1;1;7.14;21.43
A.ALÇİÇEK;14;2;0;0;14.29;14.29
İ.AĞIRTAŞ;14;0;0;0;0.0;0.0
S.ÇITAK ÜNAL;14;0;0;1;0.0;7.14
Ş.S.ÇEKE;14;1;4;0;7.14;35.71
F.GÖNÜLTAŞ;14;3;1;0;21.43;28.57
A.METE İNAL;14;2;0;1;14.29;21.43
Ö.YİĞİT;13;0;0;3;0.0;23.08
Y.ŞİMŞEK;13;2;3;1;15.38;46.15
UB.DEMİR;13;1;0;0;7.69;7.69
M.A.TURAN;13;4;2;2;30.77;61.54
SA.ÖZBEY;13;1;1;1;7.69;23.08
Ö.DEMİR;13;1;2;0;7.69;23.08
T.SOYAD;13;2;2;3;15.38;53.85
G.ÖZER;13;1;1;1;7.69;23.08
O.İPEK;13;3;0;3;23.08;46.15
B.BAYDAN;13;3;1;1;23.08;38.46
ALİ BOZKURT;13;4;0;4;30.77;61.54
B.ÇAKUS;13;1;1;1;7.69;23.08
MERT KORKMAZ;13;2;0;0;15.38;15.38
O.BOZYEL;12;3;2;0;25.0;41.67
A.C.BURHANLIOĞLU;12;1;1;2;8.33;33.33
Ç.ÖZDİL;12;1;0;1;8.33;16.67
HAS.KAYA;12;0;0;1;0.0;8.33
E.AVCI;12;1;0;0;8.33;8.33
M.F.YAZAR;12;0;2;0;0.0;16.67
A.M.İNAL;12;3;1;2;25.0;50.0
M.F.ATCI;12;0;0;0;0.0;0.0
K.TURAN YURDABAK;12;0;1;1;0.0;16.67
A.ÖZGEN;12;1;1;2;8.33;33.33
B.YÜKSEL;11;3;1;1;27.27;45.45
H.ALTIN;11;4;1;2;36.36;63.64
M.H.ESİN;11;1;2;1;9.09;36.36
A.YAZICI;11;0;2;3;0.0;45.45
K.İ.KÖSEOĞLU;11;0;2;2;0.0;36.36
K.BALTACI;11;0;0;1;0.0;9.09
A.BAŞYİĞİT;11;1;1;0;9.09;18.18
M.BATMAN;10;2;1;0;20.0;30.0
KEM.DEMİR;10;1;0;3;10.0;40.0
A.ÖZKAN;10;0;0;0;0.0;0.0
HA.BALPETEK;10;0;1;1;0.0;20.0
E.DIBLEN;10;2;0;0;20.0;20.0
MER.KORKMAZ.;10;1;1;0;10.0;20.0
H.BAŞAK;10;3;0;0;30.0;30.0
E.GÖKÇE;10;0;0;0;0.0;0.0
FATİH ŞEN;10;0;0;0;0.0;0.0
OL. AKTÜRK;10;1;0;2;10.0;30.0
A.GÜMÜŞ;9;0;0;1;0.0;11.11
B.TEKDOĞAN;9;0;0;0;0.0;0.0
S.NURAL;9;3;0;2;33.33;55.56
M.CAN;9;0;0;1;0.0;11.11
H.ERGİN;9;2;0;0;22.22;22.22
M.A.İNCESOY;9;4;0;0;44.44;44.44
B.YEŞİLYURT;9;0;0;0;0.0;0.0
M.GÜRCÜ;9;0;2;0;0.0;22.22
M.ER;9;0;1;2;0.0;33.33
N.DÖNMEZ;9;0;0;2;0.0;22.22
G.ŞEN;9;0;0;1;0.0;11.11
N.ŞEN;9;1;0;1;11.11;22.22
İ.SAYIS;8;1;0;0;12.5;12.5
SÜL.ASLAN;8;1;0;0;12.5;12.5
N.KÖÇKEN;8;1;0;0;12.5;12.5
MUT.KAYA;8;1;1;1;12.5;37.5
R.TETİK;8;1;0;0;12.5;12.5
N.GENÇER;8;0;0;0;0.0;0.0
R.GÜNELİ;8;0;1;1;0.0;25.0
N.Y.KÖYLÜ;8;2;0;1;25.0;37.5
ORK. ÖZELCANAT;8;1;0;1;12.5;25.0
S.BİLGİÇ;8;1;0;2;12.5;37.5
S.ÖNDER;8;2;1;0;25.0;37.5
A.KURT;8;0;1;1;0.0;25.0
A.AKALP;7;0;1;1;0.0;28.57
MUR.ALTIN;7;1;1;0;14.29;28.57
M.TEKİNALP;7;4;0;1;57.14;71.43
AL.BEKTAŞ;7;1;0;0;14.29;14.29
M.İPEK;7;0;0;0;0.0;0.0
S.KÖSE;7;0;0;1;0.0;14.29
S.KAYMAKLI;7;0;0;0;0.0;0.0
D.SEVGİLİ;7;1;2;1;14.29;57.14
S.BAŞOĞLU;7;2;1;0;28.57;42.86
M.B.TOKAT;7;0;0;1;0.0;14.29
F.YAVAŞ;7;1;0;0;14.29;14.29
S.S.GÖRGÜ;7;0;3;0;0.0;42.86
N.ŞİMŞEK;6;1;2;1;16.67;66.67
M.DİREKLİ;6;0;1;0;0.0;16.67
L.YAVUZ;6;0;0;0;0.0;0.0
E.KAPLAN;6;3;0;1;50.0;66.67
B.AKTAŞ;6;1;0;0;16.67;16.67
E.ÇELİK;6;0;0;0;0.0;0.0
U.DAŞCI;6;0;1;0;0.0;16.67
F.GARZAN;5;0;1;0;0.0;20.0
T.ATEŞ;5;0;1;1;0.0;40.0
İBR.C.ERŞAKAR;5;0;1;0;0.0;20.0
A.DUTAL;5;0;2;0;0.0;40.0
S.DUMAN;5;1;1;0;20.0;40.0
EK.AYDIN;5;0;1;1;0.0;40.0
S.ALTUNTAŞ;5;0;0;2;0.0;40.0
İ.DURU;5;0;0;0;0.0;0.0
F.ARICI;5;1;0;0;20.0;20.0
M.ALTUNBAŞ;5;1;0;1;20.0;40.0
D.ALTIN;5;2;0;0;40.0;40.0
A.BEKTAŞ;4;3;0;0;75.0;75.0
H.ÇARIKÇI;4;0;0;0;0.0;0.0
EM.KESKİN;4;1;0;0;25.0;25.0
At Sahibi Vekili;4;0;0;0;0.0;0.0
R.GÜMÜŞ;4;0;0;0;0.0;0.0
S.H.BARUT;4;0;0;0;0.0;0.0
E.KESKİN;4;1;0;0;25.0;25.0
A.SERBEST;4;0;0;0;0.0;0.0
E.ÇALIK;4;0;0;0;0.0;0.0
İ.KAPUSIZ;4;0;0;0;0.0;0.0
H.T.DİKENCİK;4;0;0;1;0.0;25.0
K.O.ÖZER;4;0;0;0;0.0;0.0
E.HAZAL ŞEKER;4;0;2;0;0.0;50.0
F.ÖZPAY;4;0;0;0;0.0;0.0
İ.ERDEM;4;0;0;0;0.0;0.0
MEH.ARSLAN;4;0;0;0;0.0;0.0
Ö.AKKAYA;3;0;0;0;0.0;0.0
T.İMAL;3;0;0;0;0.0;0.0
Ü.TANER;3;0;0;1;0.0;33.33
M.ELÇİ;3;0;0;0;0.0;0.0
K.KIYGIR;3;0;1;0;0.0;33.33
ŞEY.GÜMÜŞ;3;0;0;0;0.0;0.0
A.DE MİEULLE;3;1;0;1;33.33;66.67
B.HACİ TOSUN;3;0;1;0;0.0;33.33
